x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[21]Phospho,IPR032839,5,154462,420,10334269,0.7964872389633819,0.759960258042323,0.8185392084097708
[21]Phospho,IPR032880,9,154458,416,10334273,1.4475004314092852,0.36674585948058,0.4406903626738832
[21]Phospho,IPR033118,0,154467,975,10333714,0.0,0.00022900018418744574,0.0008626839315305581
[21]Phospho,IPR033120,5,154462,1121,10333568,0.2983960291698095,0.006109712717067443,0.015399545808200719
[21]Phospho,IPR033121,25,154442,3203,10331486,0.5221321608484956,0.0012797849339239956,0.004032572385305147
[21]Phospho,IPR033122,2,154465,865,10333824,0.15468380980857102,0.0037908631488288587,0.010351119799096344
[21]Phospho,IPR033133,1,154466,1057,10333632,0.06329145850554492,0.000325718057653224,0.001188702005083463
[21]Phospho,IPR033248,9,154458,599,10334090,1.0052579572176679,1.0,1.0
[21]Phospho,IPR033391,3,154464,369,10334320,0.5439381460315535,0.3944956057454303,0.4685624355493126
[21]Phospho,IPR033453,6,154461,344,10334345,1.166962556816103,0.8780500181927783,0.9234224646649914
[21]Phospho,IPR033464,4,154463,405,10334284,0.660786094204669,0.5318172001970672,0.604858610679445
[21]Phospho,IPR033712,1,154466,645,10334044,0.103723626192242,0.008858955691515322,0.02088710858321927
[21]Phospho,IPR033728,17,154450,893,10333796,1.2737067011977987,0.39371651779592065,0.4677972621524323
[21]Phospho,IPR033729,9,154458,601,10334088,1.001912478929865,1.0,1.0
[21]Phospho,IPR033731,10,154457,337,10334352,1.9853896513389138,0.050408010289616584,0.08013530346571666
[21]Phospho,IPR033739,4,154463,4001,10330688,0.06686459523320551,8.804561503093349e-13,8.13760004929983e-12
[21]Phospho,IPR033740,0,154467,442,10334247,0.0,0.01764951282179115,0.03596862273905398
[21]Phospho,IPR033742,0,154467,412,10334277,0.0,0.02278242659925055,0.04387076802885774
[21]Phospho,IPR033762,32,154435,1011,10333678,2.1179125068927265,3.335869416639854e-05,0.00014693059804193968
[21]Phospho,IPR033772,0,154467,663,10334026,0.0,0.0028189351783679344,0.007996698928703522
[21]Phospho,IPR033828,4,154463,488,10334201,0.548393890923849,0.3041629466501546,0.3750864109231425
[21]Phospho,IPR033829,44,154423,350,10334339,8.413086429575165,5.244900281454015e-56,1.8536561693406622e-54
[21]Phospho,IPR033830,51,154416,331,10334358,10.311774001786207,5.304775330022071e-81,2.8307680222623274e-79
[21]Phospho,IPR033831,19,154448,430,10334259,2.9565293745287042,3.1988543088926912e-06,1.6399531803191416e-05
[21]Phospho,IPR033832,14,154453,359,10334330,2.6092732647825527,0.0005775978800890273,0.0019903106526450234
[21]Phospho,IPR033833,12,154455,352,10334337,2.2809681990341404,0.007549052819949856,0.018305303352480026
[21]Phospho,IPR033835,5,154462,371,10334318,0.901687942089648,0.9873240691788517,1.0
[21]Phospho,IPR033836,10,154457,365,10334324,1.833080821093001,0.0881469742432293,0.12945853705695665
[21]Phospho,IPR033840,0,154467,502,10334187,0.0,0.010649955611564973,0.024229846537555992
[21]Phospho,IPR033852,0,154467,558,10334131,0.0,0.006682270703161004,0.016559045996402243
[21]Phospho,IPR033874,0,154467,728,10333961,0.0,0.0016614058798649514,0.005064524138496047
[21]Phospho,IPR033883,23,154444,1857,10332832,0.8286368820735696,0.4228613928536409,0.49789933664234415
[21]Phospho,IPR033899,17,154450,862,10333827,1.3195168170268126,0.3194244298747255,0.39169583215564585
[21]Phospho,IPR033906,1,154466,2896,10331793,0.02309639713665465,2.1562209506810597e-10,1.677444558876518e-09
[21]Phospho,IPR033911,8,154459,728,10333961,0.7352113569880097,0.47420278720226494,0.5484776902282295
[21]Phospho,IPR033922,7,154460,565,10334124,0.8289097157209989,0.748542312325438,0.8079757865769376
[21]Phospho,IPR033926,3,154464,489,10334200,0.4104516262689041,0.16096561534094367,0.2166553101878215
[21]Phospho,IPR033928,0,154467,520,10334169,0.0,0.009163482141589666,0.02148410065641146
[21]Phospho,IPR033929,0,154467,396,10334293,0.0,0.02612769593858383,0.04859663378189179
[21]Phospho,IPR033944,0,154467,486,10334203,0.0,0.012177943799090632,0.026951096111741915
[21]Phospho,IPR033989,3,154464,1949,10332740,0.1029669005252331,2.0931727070410666e-06,1.1018163130833618e-05
[21]Phospho,IPR033990,0,154467,570,10334119,0.0,0.006050594042556628,0.01527432141331617
[21]Phospho,IPR033992,2,154465,2439,10332250,0.05485080584790893,1.90075393895416e-08,1.2446144994014834e-07
[21]Phospho,IPR034025,3,154464,492,10334197,0.4079487540233544,0.15734356341158343,0.21247342509237582
[21]Phospho,IPR034027,1,154466,3701,10330988,0.018071319806781106,4.650342922648167e-13,4.369594665708108e-12
[21]Phospho,IPR034036,0,154467,600,10334089,0.0,0.004724205579779678,0.01246102243096693
