x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[414]Hydroxymethyl,α-helix,7,34,45871,88086,0.39535551745496,0.03139605683269239,0.10290929739604728
[419]Glycerophospho,α-helix,3,12,45875,88108,0.4801525885558583,0.3734172833338433,0.5667297676320708
[421]Sulfide,3₁₀-helix,2,109,6258,127629,0.374211651288186,0.22689329639094952,0.38802041991495717
[421]Sulfide,bend,14,97,10612,123275,1.676617795065691,0.09876578636937743,0.2188612730814373
[421]Sulfide,turn,13,98,16011,117876,0.9766168412277784,1.0,1.0
[421]Sulfide,unassigned,28,83,22209,111678,1.6963621065377272,0.020483230074557265,0.07673542748520226
[421]Sulfide,ß-strand,12,99,23804,110083,0.5605525936562737,0.07258181848409054,0.18222669321537624
[421]Sulfide,α-helix,31,80,45847,88040,0.7441162998669487,0.1930743819744513,0.3478286576028283
[422]PyruvicAcidIminyl,ß-strand,4,25,23812,110157,0.7401780614816059,0.7505976572399946,0.866215389284297
[422]PyruvicAcidIminyl,α-helix,7,22,45871,88098,0.6110872189004343,0.34177299589013466,0.5220610163758691
[425]Dioxidation,3₁₀-helix,28,408,6232,127330,1.4021715875053486,0.10501480251925584,0.23054412460041282
[425]Dioxidation,IDR,10,426,2517,131045,1.2221588037028954,0.6522911377228855,0.8188335558648988
[425]Dioxidation,PPII-helix,33,403,4464,129098,2.3681228154433147,1.943541529435567e-06,3.988485225624294e-05
[425]Dioxidation,bend,38,398,10588,122974,1.1089191708447792,0.6035292046672474,0.7825983093487383
[425]Dioxidation,turn,55,381,15969,117593,1.0630200672595804,0.7270084909998898,0.8555342570192349
[425]Dioxidation,unassigned,77,359,22160,111402,1.078250103074123,0.5929707068527124,0.773155175785857
[425]Dioxidation,ß-strand,71,365,23745,109817,0.8996278380163668,0.4521253897341623,0.6351823079154052
[425]Dioxidation,α-helix,119,317,45759,87803,0.7203117995163661,0.0026103023447864443,0.019621481777112877
[426]Octanoyl,turn,5,40,16019,117934,0.9202665584618266,1.0,1.0
[426]Octanoyl,unassigned,15,30,22222,111731,2.513972639726397,0.004829021613726377,0.028950074173173877
[426]Octanoyl,ß-strand,9,36,23807,110146,1.1566556054941823,0.8447877099127489,0.9389464651823742
[426]Octanoyl,α-helix,7,38,45871,88082,0.35372308384267553,0.012973475108941179,0.055668002285638514
